Timestep,Episode,Reward,Exploration
0,0,0.75,None
1,0,0.75,None
2,0,0.75,None
3,0,0.5,None
4,1,0.5,None
5,1,0.75,None
6,1,0.75,None
7,2,1.0,None
8,2,0.75,None
9,2,0.75,None
10,2,0.5,None
11,2,0.75,None
12,3,0.75,None
13,3,0.75,None
14,3,0.75,None
15,3,0.75,None
16,3,0.75,None
17,4,0.75,None
18,4,0.75,None
19,4,0.75,None
20,4,0.75,None
21,4,0.75,None
22,5,0.75,None
23,5,0.75,None
24,5,0.5,None
25,5,0.75,None
26,5,0.75,None
27,6,0.75,None
28,6,0.75,None
29,6,0.75,None
30,6,0.75,None
31,6,0.75,None
32,7,0.75,None
33,7,0.5,None
34,7,0.5,None
35,7,0.75,None
36,7,0.75,None
37,8,1.0,None
38,8,0.75,None
39,8,0.75,None
40,8,0.75,None
41,8,0.75,None
42,9,1.0,None
43,9,0.5,None
44,9,0.5,None
45,9,0.75,None
46,9,0.75,None
47,10,0.75,None
48,10,0.75,None
49,10,0.75,None
50,10,0.75,None
51,10,0.75,None
52,11,0.75,None
53,11,0.75,None
54,11,0.75,None
55,11,0.75,None
56,11,0.75,None
57,12,0.75,None
58,12,0.75,None
59,12,0.75,None
60,12,0.75,None
61,12,0.75,None
62,13,0.5,None
63,13,0.75,None
64,13,0.5,None
65,13,0.75,None
66,13,0.75,None
67,14,0.5,None
68,14,0.75,None
69,14,0.5,None
70,14,0.75,None
71,14,0.75,None
72,15,0.75,None
73,15,0.75,None
74,15,0.75,None
75,15,0.75,None
76,15,0.75,None
77,16,0.75,None
78,16,0.75,None
79,16,0.75,None
80,16,0.5,None
81,16,0.75,None
82,17,0.75,None
83,17,0.75,None
84,17,0.75,None
85,17,0.5,None
86,17,0.75,None
87,18,0.75,None
88,18,0.75,None
89,18,0.5,None
90,18,0.75,None
91,18,0.75,None
92,19,0.75,None
93,19,0.75,None
94,19,0.5,None
95,19,0.5,None
96,19,0.75,None
97,20,0.75,None
98,20,0.75,None
99,20,0.75,None
100,20,0.75,None
101,20,0.75,None
102,21,0.75,None
103,21,0.75,None
104,21,0.75,None
105,21,0.75,None
106,21,0.75,None
107,22,0.75,None
108,22,0.75,None
109,22,0.75,None
110,22,0.75,None
111,22,0.75,None
112,23,0.75,None
113,23,0.75,None
114,23,0.75,None
115,23,0.75,None
116,23,0.75,None
117,24,0.75,None
118,24,0.75,None
119,24,0.75,None
120,24,0.75,None
121,24,0.75,None
122,25,0.75,None
123,25,0.75,None
124,25,0.75,None
125,25,0.5,None
126,25,0.75,None
127,26,0.5,None
128,26,0.75,None
129,27,1.0,None
130,27,0.75,None
131,27,0.75,None
132,28,1.0,None
133,28,0.75,None
134,28,0.75,None
135,28,0.75,None
136,28,0.75,None
137,29,0.75,None
138,30,1.0,None
139,30,0.75,None
140,30,0.5,None
141,30,0.75,None
142,30,0.75,None
143,31,0.75,None
144,32,1.0,None
145,32,0.75,None
146,32,0.75,None
147,32,0.75,None
148,32,0.75,None
149,33,0.75,None
150,33,0.75,None
151,33,0.75,None
152,33,0.75,None
153,33,0.75,None
154,34,0.75,None
155,34,0.75,None
156,34,0.75,None
157,34,0.75,None
158,34,0.75,None
159,35,0.75,None
160,35,0.75,None
161,35,0.75,None
162,35,0.5,None
163,35,0.75,None
164,36,0.75,None
165,36,0.75,None
166,37,1.0,None
167,37,0.75,None
168,37,0.5,None
169,37,0.75,None
170,37,0.75,None
171,38,0.75,None
172,38,0.75,None
173,38,0.5,None
174,39,1.0,None
175,39,0.75,None
176,39,0.75,None
177,40,1.0,None
178,40,0.75,None
179,40,0.75,None
180,40,0.75,None
181,40,0.75,None
182,41,0.75,None
183,41,0.5,None
184,41,0.75,None
185,41,0.75,None
186,41,0.75,None
187,42,0.75,None
188,42,0.5,None
189,42,0.5,None
190,43,1.0,None
191,43,0.75,None
192,43,0.75,None
193,43,0.5,None
194,43,0.75,None
195,44,0.75,None
196,44,0.75,None
197,44,0.75,None
198,44,0.75,None
199,44,0.75,None
200,45,0.5,None
201,45,0.5,None
202,45,0.75,None
203,45,0.75,None
204,45,0.75,None
205,46,0.75,None
206,46,0.5,None
207,46,0.75,None
208,46,0.75,None
209,46,0.5,None
210,47,0.75,None
211,47,0.75,None
212,47,0.5,None
213,47,0.75,None
214,47,0.5,None
215,48,0.75,None
216,48,0.5,None
217,48,0.5,None
218,48,0.75,None
219,48,0.75,None
220,49,0.5,None
221,49,0.75,None
222,49,0.75,None
223,49,0.75,None
224,49,0.75,None
225,50,0.75,None
226,50,0.75,None
227,50,0.5,None
228,50,0.75,None
229,50,0.75,None
230,51,0.75,None
231,51,0.75,None
232,51,0.75,None
233,51,0.75,None
234,51,0.75,None
235,52,0.75,None
236,52,0.75,None
237,52,0.75,None
238,52,0.5,None
239,52,0.75,None
240,53,1.0,None
241,53,0.5,None
242,53,0.75,None
243,53,0.5,None
244,53,0.75,None
245,54,0.75,None
246,54,0.75,None
247,54,0.75,None
248,54,0.75,None
249,55,1.0,None
250,55,0.75,None
251,55,0.75,None
252,55,0.5,None
253,55,0.75,None
254,56,0.75,None
255,56,0.75,None
256,57,1.0,None
257,57,0.75,None
258,57,0.5,None
259,57,0.75,None
260,57,0.75,None
261,58,0.75,None
262,58,0.75,None
263,58,0.5,None
264,58,0.75,None
265,58,0.75,None
266,59,0.5,None
267,59,0.75,None
268,59,0.5,None
269,59,0.5,None
270,59,0.75,None
271,60,0.75,None
272,60,0.75,None
273,61,1.0,None
274,62,1.0,None
275,62,0.75,None
276,62,0.75,None
277,62,0.5,None
278,62,0.75,None
279,63,0.75,None
280,63,0.75,None
281,63,0.75,None
282,63,0.75,None
283,63,0.75,None
284,64,0.75,None
285,64,0.75,None
286,64,0.75,None
287,64,0.75,None
288,64,0.5,None
289,65,0.75,None
290,65,0.75,None
291,65,0.75,None
292,65,0.75,None
293,65,0.5,None
294,66,0.75,None
295,66,0.75,None
296,66,0.75,None
297,66,0.75,None
298,66,0.75,None
299,67,0.75,None
300,67,0.75,None
301,67,0.75,None
302,67,0.75,None
303,67,0.75,None
304,68,0.75,None
305,68,0.75,None
306,68,0.75,None
307,68,0.75,None
308,68,0.75,None
309,69,0.5,None
310,69,0.75,None
311,69,0.75,None
312,69,0.75,None
313,69,0.75,None
314,70,0.75,None
315,70,0.75,None
316,70,0.75,None
317,70,0.5,None
318,70,0.75,None
319,71,0.75,None
320,71,0.75,None
321,71,0.75,None
322,71,0.75,None
323,71,0.75,None
324,72,0.75,None
325,72,0.75,None
326,72,0.75,None
327,72,0.75,None
328,72,0.75,None
329,73,0.75,None
330,73,0.5,None
331,73,0.75,None
332,73,0.5,None
333,73,0.75,None
334,74,0.75,None
335,74,0.75,None
336,74,0.75,None
337,74,0.75,None
338,75,1.0,None
339,75,0.75,None
340,75,0.75,None
341,75,0.75,None
342,75,0.5,None
343,76,0.75,None
344,76,0.75,None
345,76,0.75,None
346,76,0.75,None
347,76,0.75,None
348,77,0.75,None
349,77,0.75,None
350,77,0.5,None
351,77,0.75,None
352,77,0.75,None
353,78,0.75,None
354,78,0.75,None
355,78,0.75,None
356,78,0.75,None
357,78,0.75,None
358,79,0.75,None
