Timestep,Episode,Reward,Exploration
0,0,-1,None
1,0,0.5,None
2,0,0.5,None
3,0,0.5,None
4,1,-1,None
5,1,0.5,None
6,2,1,None
7,2,-1,None
8,2,0.5,None
9,2,0.5,None
10,2,0.5,None
11,3,0.5,None
12,3,-1,None
13,3,0.5,None
14,3,0.5,None
15,3,0.5,None
16,4,0.5,None
17,4,0.5,None
18,4,0.5,None
19,4,0.5,None
20,5,1,None
21,5,0.5,None
22,5,0.5,None
23,5,0.5,None
24,5,0.5,None
25,6,1,None
26,6,-1,None
27,6,0.5,None
28,6,-1,None
29,6,0.5,None
30,7,0.5,None
31,7,0.5,None
32,7,0.5,None
33,7,0.5,None
34,7,-1,None
35,8,0.5,None
36,8,0.5,None
37,8,0.5,None
38,8,0.5,None
39,8,0.5,None
40,9,0.5,None
41,9,-1,None
42,9,0.5,None
43,9,-1,None
44,9,-1,None
45,10,-1,None
46,10,0.5,None
47,10,0.5,None
48,11,1,None
49,11,-1,None
50,11,-1,None
51,11,0.5,None
52,11,-1,None
53,12,0.5,None
54,12,0.5,None
55,12,0.5,None
56,12,-1,None
57,13,1,None
58,13,0.5,None
59,13,-1,None
60,13,0.5,None
61,13,0.5,None
62,14,0.5,None
63,14,0.5,None
64,14,0.5,None
65,14,0.5,None
66,14,-1,None
67,15,-1,None
68,15,0.5,None
69,15,0.5,None
70,15,-1,None
71,15,-1,None
72,16,0.5,None
73,16,0.5,None
74,16,0.5,None
75,16,0.5,None
76,16,-1,None
77,17,0.5,None
78,18,1,None
79,19,1,None
80,19,-1,None
81,19,0.5,None
82,19,-1,None
83,19,-1,None
84,20,0.5,None
85,20,-1,None
86,20,0.5,None
87,20,0.5,None
88,20,0.5,None
89,21,0.5,None
90,21,-1,None
91,22,1,None
92,22,0.5,None
93,22,-1,None
94,22,0.5,None
95,22,-1,None
96,23,0.5,None
97,23,0.5,None
98,23,0.5,None
99,23,-1,None
100,23,0.5,None
101,24,1,None
102,24,-1,None
103,24,0.5,None
104,24,0.5,None
105,24,0.5,None
106,25,0.5,None
107,25,-1,None
108,25,0.5,None
109,26,1,None
110,26,0.5,None
111,26,-1,None
112,26,0.5,None
113,26,0.5,None
114,27,-1,None
115,27,0.5,None
116,28,1,None
117,28,0.5,None
118,28,0.5,None
119,28,0.5,None
120,28,0.5,None
121,29,0.5,None
122,29,0.5,None
123,30,1,None
124,30,0.5,None
125,31,1,None
126,31,0.5,None
127,32,1,None
128,32,0.5,None
129,32,-1,None
130,32,0.5,None
131,32,0.5,None
132,33,0.5,None
133,33,0.5,None
134,33,0.5,None
135,34,1,None
136,34,0.5,None
137,34,0.5,None
138,34,0.5,None
139,34,0.5,None
140,35,1,None
141,35,0.5,None
142,35,0.5,None
143,35,-1,None
144,35,0.5,None
145,36,1,None
146,36,-1,None
147,37,1,None
148,37,0.5,None
149,37,0.5,None
150,37,0.5,None
151,37,0.5,None
152,38,0.5,None
153,38,0.5,None
154,38,-1,None
155,38,-1,None
156,38,0.5,None
157,39,1,None
158,39,0.5,None
159,39,0.5,None
160,39,-1,None
161,39,0.5,None
162,40,0.5,None
163,40,-1,None
164,40,0.5,None
165,40,0.5,None
166,40,0.5,None
167,41,0.5,None
168,41,0.5,None
169,41,0.5,None
170,41,-1,None
171,42,1,None
172,42,-1,None
173,42,0.5,None
174,42,-1,None
175,42,0.5,None
176,43,0.5,None
177,43,0.5,None
178,43,-1,None
179,43,0.5,None
180,43,0.5,None
181,44,-1,None
182,44,0.5,None
183,44,-1,None
184,44,0.5,None
185,44,0.5,None
186,45,-1,None
187,45,0.5,None
188,45,0.5,None
189,45,-1,None
190,45,0.5,None
191,46,0.5,None
192,46,0.5,None
193,46,0.5,None
194,46,-1,None
195,46,0.5,None
196,47,-1,None
197,48,1,None
198,48,0.5,None
199,48,0.5,None
200,48,0.5,None
201,48,0.5,None
202,49,0.5,None
203,49,0.5,None
204,49,0.5,None
205,49,0.5,None
206,49,0.5,None
207,50,0.5,None
208,50,0.5,None
209,50,0.5,None
210,50,0.5,None
211,50,0.5,None
212,51,0.5,None
213,51,-1,None
214,51,0.5,None
215,51,0.5,None
216,51,0.5,None
217,52,1,None
218,52,0.5,None
219,52,0.5,None
220,52,0.5,None
221,52,-1,None
222,53,0.5,None
223,53,-1,None
224,53,0.5,None
225,53,0.5,None
226,53,-1,None
227,54,-1,None
228,54,0.5,None
229,54,-1,None
230,54,0.5,None
231,54,0.5,None
232,55,0.5,None
233,55,-1,None
234,55,0.5,None
235,55,0.5,None
236,55,0.5,None
237,56,0.5,None
238,56,-1,None
239,57,1,None
240,57,-1,None
241,57,0.5,None
242,57,0.5,None
243,57,0.5,None
244,58,0.5,None
245,58,0.5,None
246,58,0.5,None
247,58,0.5,None
248,59,1,None
249,59,0.5,None
250,59,0.5,None
251,59,-1,None
252,59,-1,None
253,60,0.5,None
254,60,0.5,None
255,60,0.5,None
256,60,0.5,None
257,60,0.5,None
258,61,0.5,None
259,61,0.5,None
260,61,0.5,None
261,61,-1,None
262,61,-1,None
263,62,0.5,None
264,62,0.5,None
265,62,0.5,None
266,62,-1,None
267,62,0.5,None
268,63,0.5,None
269,63,0.5,None
270,63,-1,None
271,63,-1,None
272,63,0.5,None
273,64,0.5,None
274,64,0.5,None
275,64,0.5,None
276,64,0.5,None
277,64,-1,None
278,65,0.5,None
279,65,0.5,None
280,66,1,None
281,66,0.5,None
282,66,0.5,None
283,66,0.5,None
284,66,0.5,None
285,67,1,None
286,67,0.5,None
287,67,-1,None
288,67,0.5,None
289,67,-1,None
290,68,0.5,None
291,68,-1,None
292,68,0.5,None
293,68,0.5,None
294,68,0.5,None
295,69,-1,None
296,69,-1,None
297,69,0.5,None
298,69,0.5,None
299,69,0.5,None
300,70,1,None
301,70,0.5,None
302,70,0.5,None
303,70,0.5,None
304,70,0.5,None
305,71,-1,None
306,71,0.5,None
307,71,0.5,None
308,71,-1,None
309,71,0.5,None
310,72,0.5,None
311,72,0.5,None
312,72,0.5,None
313,72,0.5,None
314,72,-1,None
315,73,0.5,None
316,73,0.5,None
317,73,0.5,None
318,73,-1,None
319,73,0.5,None
320,74,0.5,None
321,74,0.5,None
322,74,0.5,None
323,74,0.5,None
324,74,0.5,None
325,75,0.5,None
326,75,-1,None
327,75,0.5,None
328,75,-1,None
329,75,0.5,None
330,76,-1,None
331,76,-1,None
332,76,-1,None
333,76,0.5,None
334,76,-1,None
335,77,-1,None
336,78,1,None
337,78,0.5,None
338,78,0.5,None
339,78,0.5,None
340,78,0.5,None
341,79,0.5,None
342,79,-1,None
343,79,-1,None
344,79,-1,None
345,79,0.5,None
346,80,0.5,None
347,80,0.5,None
348,81,1,None
349,81,0.5,None
350,81,0.5,None
351,81,0.5,None
352,81,0.5,None
353,82,0.5,None
354,82,0.5,None
355,82,0.5,None
356,82,0.5,None
357,82,-1,None
358,83,-1,None
359,83,0.5,None
360,83,0.5,None
361,83,0.5,None
362,83,0.5,None
363,84,0.5,None
364,84,0.5,None
365,84,-1,None
366,84,0.5,None
367,84,-1,None
368,85,-1,None
369,85,0.5,None
370,85,0.5,None
371,85,-1,None
372,85,0.5,None
373,86,0.5,None
374,86,0.5,None
375,86,0.5,None
376,86,-1,None
377,86,0.5,None
378,87,0.5,None
379,87,0.5,None
380,87,0.5,None
381,87,0.5,None
382,87,0.5,None
383,88,0.5,None
384,88,0.5,None
385,88,0.5,None
386,88,0.5,None
387,88,-1,None
388,89,0.5,None
389,89,0.5,None
390,89,0.5,None
391,89,0.5,None
392,89,0.5,None
393,90,0.5,None
394,90,0.5,None
395,91,1,None
396,91,-1,None
397,91,0.5,None
398,91,0.5,None
399,91,0.5,None
400,92,0.5,None
401,92,0.5,None
402,92,0.5,None
403,92,0.5,None
404,92,0.5,None
405,93,-1,None
406,93,0.5,None
407,93,0.5,None
408,93,-1,None
409,93,0.5,None
410,94,0.5,None
411,94,0.5,None
412,94,0.5,None
413,94,-1,None
414,94,0.5,None
415,95,-1,None
416,95,0.5,None
417,95,-1,None
418,95,0.5,None
419,95,0.5,None
420,96,0.5,None
421,96,-1,None
422,96,-1,None
423,96,0.5,None
424,96,-1,None
425,97,1,None
426,97,0.5,None
427,97,-1,None
428,98,1,None
429,98,0.5,None
430,98,-1,None
431,98,0.5,None
432,98,0.5,None
433,99,0.5,None
434,99,0.5,None
435,99,0.5,None
436,99,-1,None
437,99,0.5,None
438,100,-1,None
439,100,-1,None
440,100,-1,None
441,100,0.5,None
442,100,0.5,None
443,101,0.5,None
444,101,0.5,None
445,101,0.5,None
446,101,-1,None
447,101,0.5,None
448,102,0.5,None
449,102,0.5,None
450,102,0.5,None
451,102,0.5,None
452,102,0.5,None
453,103,0.5,None
454,103,0.5,None
455,103,0.5,None
456,103,0.5,None
457,103,0.5,None
458,104,1,None
459,104,0.5,None
460,104,0.5,None
461,104,0.5,None
462,104,0.5,None
463,105,-1,None
464,106,1,None
465,106,-1,None
466,106,0.5,None
467,106,-1,None
468,106,0.5,None
469,107,1,None
470,107,0.5,None
471,107,0.5,None
472,107,0.5,None
473,107,0.5,None
474,108,0.5,None
475,108,0.5,None
476,108,-1,None
477,108,0.5,None
478,108,0.5,None
479,109,0.5,None
480,109,0.5,None
481,109,0.5,None
482,109,-1,None
483,109,-1,None
484,110,0.5,None
485,110,-1,None
486,110,0.5,None
487,110,0.5,None
488,110,-1,None
489,111,-1,None
490,111,0.5,None
491,111,-1,None
492,112,1,None
493,113,1,None
494,113,0.5,None
495,113,-1,None
496,113,0.5,None
497,113,-1,None
498,114,0.5,None
499,114,0.5,None
500,114,0.5,None
501,114,-1,0.95491
502,114,-1,0.95482
503,115,0.5,0.95473
504,115,0.5,0.95464
505,115,-1,0.95455
506,115,-1,0.95446
507,115,-1,0.9543699999999999
508,116,-1,0.95428
509,116,-1,0.95419
510,116,0.5,0.9541
511,116,0.5,0.95401
512,116,0.5,0.95392
513,117,0.5,0.95383
514,118,1,0.95374
515,118,-1,0.95365
516,118,0.5,0.95356
517,118,0.5,0.95347
518,118,-1,0.95338
519,119,0.5,0.95329
520,119,0.5,0.9532
521,119,0.5,0.95311
522,119,0.5,0.95302
523,119,0.5,0.95293
524,120,1,0.95284
525,120,-1,0.95275
526,120,0.5,0.95266
527,120,0.5,0.95257
528,120,0.5,0.95248
529,121,0.5,0.95239
530,121,-1,0.9523
531,121,0.5,0.95221
532,121,-1,0.95212
533,121,0.5,0.95203
534,122,-1,0.95194
535,122,0.5,0.95185
536,122,0.5,0.9517599999999999
537,122,0.5,0.95167
538,123,1,0.95158
539,123,0.5,0.95149
540,123,0.5,0.9514
541,123,0.5,0.95131
542,123,0.5,0.95122
543,124,0.5,0.95113
544,124,0.5,0.95104
545,124,-1,0.95095
546,124,0.5,0.95086
547,124,0.5,0.95077
548,125,0.5,0.95068
549,125,0.5,0.95059
550,125,0.5,0.9505
551,125,-1,0.95041
552,125,0.5,0.95032
553,126,-1,0.95023
554,126,-1,0.95014
555,126,0.5,0.95005
556,127,1,0.94996
557,127,0.5,0.94987
558,127,0.5,0.94978
559,127,0.5,0.94969
560,127,0.5,0.9496
561,128,-1,0.94951
562,128,0.5,0.94942
563,129,1,0.94933
564,129,0.5,0.94924
565,129,0.5,0.94915
566,129,0.5,0.94906
567,129,0.5,0.94897
568,130,0.5,0.94888
569,130,0.5,0.94879
570,130,0.5,0.9487
571,130,-1,0.94861
572,130,0.5,0.94852
573,131,-1,0.94843
574,131,-1,0.94834
575,131,0.5,0.94825
576,131,0.5,0.94816
577,131,0.5,0.94807
578,132,0.5,0.94798
579,132,0.5,0.94789
580,132,0.5,0.9478
581,132,-1,0.94771
582,132,-1,0.94762
583,133,0.5,0.94753
584,134,1,0.94744
585,134,0.5,0.94735
586,134,0.5,0.94726
587,134,0.5,0.94717
588,134,-1,0.94708
589,135,0.5,0.94699
590,135,0.5,0.9469
591,135,0.5,0.94681
592,136,1,0.94672
593,136,0.5,0.94663
594,136,0.5,0.94654
595,136,0.5,0.94645
596,136,0.5,0.94636
597,137,0.5,0.94627
598,137,0.5,0.94618
599,137,0.5,0.94609
600,137,0.5,0.946
601,137,0.5,0.94591
602,138,0.5,0.94582
603,139,1,0.94573
604,139,0.5,0.94564
605,139,-1,0.94555
606,139,0.5,0.94546
607,139,0.5,0.94537
608,140,0.5,0.94528
609,140,0.5,0.94519
610,140,0.5,0.9451
611,140,0.5,0.94501
612,140,0.5,0.94492
613,141,0.5,0.94483
614,141,0.5,0.94474
615,141,0.5,0.94465
616,141,-1,0.94456
617,141,-1,0.94447
618,142,0.5,0.94438
619,142,0.5,0.94429
620,142,0.5,0.9442
621,142,0.5,0.94411
622,142,0.5,0.94402
623,143,0.5,0.94393
624,143,0.5,0.94384
625,143,0.5,0.94375
626,143,0.5,0.9436599999999999
627,143,0.5,0.94357
628,144,1,0.94348
629,144,0.5,0.94339
630,144,0.5,0.9433
631,144,0.5,0.94321
632,144,-1,0.94312
633,145,0.5,0.94303
634,146,1,0.94294
635,146,0.5,0.94285
636,146,0.5,0.94276
637,146,-1,0.94267
638,146,0.5,0.94258
639,147,0.5,0.94249
640,147,-1,0.9424
641,147,0.5,0.94231
642,147,0.5,0.9422200000000001
643,147,-1,0.94213
644,148,0.5,0.94204
645,148,-1,0.94195
646,148,-1,0.94186
647,148,0.5,0.94177
648,148,0.5,0.94168
649,149,1,0.94159
650,149,0.5,0.9415
651,149,0.5,0.94141
652,149,0.5,0.94132
653,149,0.5,0.94123
654,150,-1,0.94114
655,150,0.5,0.9410499999999999
656,150,0.5,0.94096
657,150,0.5,0.94087
658,150,0.5,0.94078
659,151,0.5,0.94069
660,151,-1,0.9406
661,151,0.5,0.94051
662,151,0.5,0.94042
663,151,0.5,0.94033
664,152,0.5,0.94024
665,152,0.5,0.94015
666,152,0.5,0.94006
667,153,1,0.93997
668,153,0.5,0.93988
669,153,0.5,0.93979
670,153,0.5,0.9397
671,153,-1,0.93961
672,154,0.5,0.93952
673,154,0.5,0.93943
674,155,1,0.93934
675,155,-1,0.93925
676,155,-1,0.93916
677,155,0.5,0.93907
