Timestep,Episode,Reward,Exploration
0,0,0.5,None
1,0,0.5,None
2,0,0.5,None
3,0,0.5,None
4,1,0.5,None
5,1,0.5,None
6,1,0.5,None
7,2,1,None
8,2,0.5,None
9,2,-1,None
10,2,0.5,None
11,2,-1,None
12,3,0.5,None
13,3,0.5,None
14,3,0.5,None
15,3,0.5,None
16,3,0.5,None
17,4,0.5,None
18,4,0.5,None
19,4,0.5,None
20,4,0.5,None
21,4,0.5,None
22,5,1,None
23,5,-1,None
24,5,0.5,None
25,5,0.5,None
26,5,-1,None
27,6,-1,None
28,6,0.5,None
29,6,0.5,None
30,6,0.5,None
31,6,0.5,None
32,7,1,None
33,7,-1,None
34,7,0.5,None
35,7,0.5,None
36,8,1,None
37,9,1,None
38,9,0.5,None
39,9,0.5,None
40,9,0.5,None
41,9,0.5,None
42,10,0.5,None
43,10,-1,None
44,10,0.5,None
45,10,0.5,None
46,10,0.5,None
47,11,0.5,None
48,12,1,None
49,12,0.5,None
50,12,0.5,None
51,12,0.5,None
52,12,0.5,None
53,13,0.5,None
54,13,0.5,None
55,13,0.5,None
56,13,0.5,None
57,13,0.5,None
58,14,0.5,None
59,14,0.5,None
60,14,0.5,None
61,14,0.5,None
62,14,0.5,None
63,15,0.5,None
64,15,-1,None
65,15,-1,None
66,15,-1,None
67,15,0.5,None
68,16,-1,None
69,16,0.5,None
70,16,0.5,None
71,16,-1,None
72,16,-1,None
73,17,0.5,None
74,17,0.5,None
75,17,0.5,None
76,17,0.5,None
77,17,0.5,None
78,18,0.5,None
79,18,0.5,None
80,18,0.5,None
81,18,-1,None
82,18,-1,None
83,19,0.5,None
84,19,0.5,None
85,19,-1,None
86,19,-1,None
87,19,0.5,None
88,20,0.5,None
89,21,1,None
90,21,0.5,None
91,21,-1,None
92,21,-1,None
93,21,0.5,None
94,22,0.5,None
95,22,0.5,None
96,22,-1,None
97,22,0.5,None
98,22,0.5,None
99,23,0.5,None
100,23,0.5,None
101,23,0.5,None
102,23,0.5,None
103,23,0.5,None
104,24,0.5,None
105,24,0.5,None
