Timestep,Episode,Reward,Exploration
0,0,-1,None
1,0,-1,None
2,0,-1,None
3,0,0.5,None
4,1,0.5,None
5,1,0.5,None
6,1,0.5,None
7,1,0.5,None
8,1,-1,None
9,2,0.5,None
10,2,0.5,None
11,2,0.5,None
12,2,0.5,None
13,2,0.5,None
14,3,-1,None
15,3,-1,None
16,3,0.5,None
17,3,-1,None
18,3,0.5,None
19,4,-1,None
20,4,0.5,None
21,4,-1,None
22,4,-1,None
23,4,0.5,None
24,5,-1,None
25,5,-1,None
26,5,-1,None
27,5,0.5,None
28,5,-1,None
29,6,-1,None
30,6,0.5,None
31,6,0.5,None
32,6,0.5,None
33,6,0.5,None
34,7,0.5,None
35,7,0.5,None
36,7,0.5,None
37,7,-1,None
38,7,0.5,None
39,8,0.5,None
40,8,0.5,None
41,8,0.5,None
42,8,-1,None
43,9,1,None
44,9,0.5,None
45,9,0.5,None
46,9,0.5,None
47,9,0.5,None
48,10,0.5,None
49,10,-1,None
50,10,-1,None
51,10,0.5,None
52,10,0.5,None
53,11,0.5,None
54,11,0.5,None
55,11,0.5,None
56,11,0.5,None
57,11,-1,None
58,12,1,None
59,12,0.5,None
60,12,-1,None
61,12,-1,None
62,12,-1,None
63,13,-1,None
64,13,-1,None
65,13,0.5,None
66,13,0.5,None
67,13,0.5,None
68,14,0.5,None
69,14,0.5,None
70,14,0.5,None
71,14,0.5,None
72,14,0.5,None
73,15,-1,None
74,15,-1,None
75,15,0.5,None
76,15,0.5,None
77,15,0.5,None
78,16,0.5,None
79,16,-1,None
80,16,0.5,None
81,16,-1,None
82,16,0.5,None
83,17,0.5,None
84,17,0.5,None
85,17,0.5,None
86,17,0.5,None
87,18,1,None
88,18,-1,None
89,19,1,None
90,19,0.5,None
91,19,-1,None
92,20,1,None
93,20,0.5,None
94,20,-1,None
95,20,-1,None
96,20,-1,None
97,21,0.5,None
98,21,0.5,None
99,21,0.5,None
100,21,-1,None
101,21,0.5,None
102,22,-1,None
103,22,-1,None
104,22,0.5,None
105,23,1,None
106,23,-1,None
107,23,0.5,None
108,23,0.5,None
109,23,-1,None
110,24,0.5,None
111,24,0.5,None
112,24,0.5,None
113,24,0.5,None
114,24,0.5,None
115,25,0.5,None
116,25,0.5,None
117,25,0.5,None
118,25,0.5,None
119,26,1,None
120,26,0.5,None
121,27,1,None
122,27,-1,None
123,27,-1,None
124,27,0.5,None
125,27,0.5,None
126,28,0.5,None
127,28,0.5,None
128,28,0.5,None
129,28,0.5,None
130,28,0.5,None
131,29,0.5,None
132,29,0.5,None
133,29,0.5,None
134,29,0.5,None
135,29,0.5,None
136,30,0.5,None
137,30,-1,None
138,30,-1,None
139,30,0.5,None
140,30,0.5,None
141,31,0.5,None
142,31,-1,None
143,31,0.5,None
144,31,0.5,None
145,31,0.5,None
146,32,-1,None
147,32,-1,None
148,32,-1,None
149,32,-1,None
150,32,0.5,None
151,33,0.5,None
152,33,0.5,None
153,33,0.5,None
154,33,-1,None
155,33,0.5,None
156,34,0.5,None
157,34,0.5,None
158,34,0.5,None
159,34,0.5,None
160,34,0.5,None
161,35,-1,None
162,35,0.5,None
163,35,0.5,None
164,35,-1,None
165,35,-1,None
166,36,0.5,None
167,36,0.5,None
168,36,0.5,None
169,36,0.5,None
170,36,0.5,None
171,37,0.5,None
172,37,0.5,None
173,37,0.5,None
174,37,0.5,None
175,37,0.5,None
176,38,0.5,None
177,38,-1,None
178,38,0.5,None
179,38,0.5,None
180,38,0.5,None
181,39,-1,None
182,39,0.5,None
183,39,0.5,None
184,39,0.5,None
185,39,0.5,None
186,40,0.5,None
187,40,0.5,None
188,40,0.5,None
189,40,0.5,None
190,40,0.5,None
191,41,0.5,None
192,41,0.5,None
193,41,0.5,None
194,41,0.5,None
195,41,0.5,None
196,42,0.5,None
197,43,1,None
198,43,-1,None
199,43,0.5,None
200,43,0.5,None
201,43,0.5,None
202,44,0.5,None
203,44,0.5,None
204,45,1,None
205,45,0.5,None
206,45,0.5,None
207,45,0.5,None
208,45,0.5,None
209,46,0.5,None
210,46,-1,None
211,46,-1,None
212,47,1,None
213,47,0.5,None
214,47,-1,None
215,47,0.5,None
216,47,-1,None
217,48,0.5,None
218,48,-1,None
219,48,-1,None
220,48,0.5,None
221,48,0.5,None
222,49,0.5,None
223,49,0.5,None
224,49,0.5,None
225,49,0.5,None
226,49,-1,None
227,50,0.5,None
228,50,-1,None
229,50,0.5,None
230,50,-1,None
231,50,0.5,None
232,51,0.5,None
233,51,0.5,None
234,51,0.5,None
235,51,0.5,None
236,51,-1,None
237,52,0.5,None
238,52,-1,None
239,52,0.5,None
240,52,0.5,None
241,52,0.5,None
242,53,-1,None
243,54,1,None
244,55,1,None
245,56,1,None
246,56,0.5,None
247,56,0.5,None
248,56,0.5,None
249,56,0.5,None
250,57,0.5,None
251,57,0.5,None
252,57,-1,None
253,58,1,None
254,58,0.5,None
255,58,0.5,None
256,58,0.5,None
257,58,0.5,None
258,59,0.5,None
259,59,0.5,None
260,59,0.5,None
261,59,0.5,None
262,59,0.5,None
263,60,0.5,None
264,60,0.5,None
265,60,0.5,None
266,60,0.5,None
267,60,0.5,None
268,61,0.5,None
269,61,0.5,None
270,61,0.5,None
271,61,0.5,None
272,61,-1,None
273,62,0.5,None
274,62,0.5,None
275,62,0.5,None
276,62,0.5,None
277,62,0.5,None
278,63,0.5,None
279,63,-1,None
280,63,0.5,None
281,63,0.5,None
282,63,0.5,None
283,64,0.5,None
284,64,0.5,None
285,64,0.5,None
286,64,0.5,None
287,64,0.5,None
288,65,1,None
289,65,0.5,None
290,65,0.5,None
291,65,0.5,None
292,65,-1,None
293,66,0.5,None
294,66,-1,None
295,66,0.5,None
296,66,-1,None
297,66,-1,None
298,67,0.5,None
299,67,0.5,None
300,67,0.5,None
301,67,0.5,None
302,67,-1,None
303,68,0.5,None
304,68,0.5,None
305,68,0.5,None
306,68,0.5,None
307,69,1,None
308,69,0.5,None
309,69,-1,None
310,69,-1,None
311,69,0.5,None
312,70,0.5,None
313,70,0.5,None
314,70,0.5,None
315,70,0.5,None
316,70,-1,None
317,71,0.5,None
